POST_ID,TITLE,YEAR,DATE,ATTENDANCE,FUNDRAISER,URL
129928,"The US OPEN: Early Preview",,July 2,,,https://dodgeball.livejournal.com/129928.html
129642,"The US OPEN: Historical Perspective",,,,,https://dodgeball.livejournal.com/129642.html
129180,"Out of the Park: The GRAND SLAM",,,,,https://dodgeball.livejournal.com/129180.html
128937,"The Great NOR'EASTER '16",,,,,https://dodgeball.livejournal.com/128937.html
128618,"STORM Of The CENTURY: The Tale of the Tape",,a 1,,,https://dodgeball.livejournal.com/128618.html
128471,"HOLIDAY HEADLINERS",,,,,https://dodgeball.livejournal.com/128471.html
128217,"ACCOLADES The Writer Never Noticed",,,,,https://dodgeball.livejournal.com/128217.html
127747,"ERAs of EXCELLENCE",,to 20,,,https://dodgeball.livejournal.com/127747.html
127573,"TURKEY BOWL Extras",,,,,https://dodgeball.livejournal.com/127573.html
127339,"The Turkey Bowl: SPUTZ v KATZ",,,,,https://dodgeball.livejournal.com/127339.html
127059,"The TURKEY BOWL '15: Tale of the Tape",,,,,https://dodgeball.livejournal.com/127059.html
126899,"FAMILY MATTERS of the Past",,,,,https://dodgeball.livejournal.com/126899.html
126296,"A 10 Out Of 10, III",,A 10,,,https://dodgeball.livejournal.com/126296.html
125975,"A 10 Out Of 10, II",,A 10,,,https://dodgeball.livejournal.com/125975.html
125894,"A 10 Out Of 10",,A 10,,,https://dodgeball.livejournal.com/125894.html
125189,"X LIST: ""Player""",,,,,https://dodgeball.livejournal.com/125189.html
124996,"X LIST: ""Rivalries""",,,,,https://dodgeball.livejournal.com/124996.html
124837,"X LIST: ""Matches""",,,,,https://dodgeball.livejournal.com/124837.html
124158,"A Decade Of DODGEBALL DESTRUCTION",,,,,https://dodgeball.livejournal.com/124158.html
122961,"At Least It TASTES GOOD",,on 11,,,https://dodgeball.livejournal.com/122961.html
121773,"A PIECE Of PIE, On Me",,on 11,,,https://dodgeball.livejournal.com/121773.html
121014,"The JUNGLE Book",,,,,https://dodgeball.livejournal.com/121014.html
120687,"The RUMBLE In Our Jungle",,,,,https://dodgeball.livejournal.com/120687.html
120507,"A STANDING OVATION",,,,,https://dodgeball.livejournal.com/120507.html
120292,"THE FINAL THROW",,,,,https://dodgeball.livejournal.com/120292.html
119963,"You Know It's 'AWE'GUST",,DODGEBOWL 20,,,https://dodgeball.livejournal.com/119963.html
119800,"Numerical VOLUMES",,,,,https://dodgeball.livejournal.com/119800.html
119520,"It All Comes Down To THIS",,was 20,,,https://dodgeball.livejournal.com/119520.html
116147,"The BIG ONE, Literally",,over 10,,,https://dodgeball.livejournal.com/116147.html
114712,"Your CALL of DUTY",,the 13,,,https://dodgeball.livejournal.com/114712.html
